country,iso3,g_whoregion,year,pulm_labconf_new,mdr_new,xdr
Suriname,SUR,AMR,2020,67,,
Sweden,SWE,EUR,2017,259,8,0
Sweden,SWE,EUR,2018,282,5,0
Sweden,SWE,EUR,2019,243,4,0
Sweden,SWE,EUR,2020,175,4,
Switzerland,CHE,EUR,2017,294,6,
Switzerland,CHE,EUR,2018,282,3,1
Switzerland,CHE,EUR,2019,202,5,0
Switzerland,CHE,EUR,2020,189,0,
Syrian Arab Republic,SYR,EMR,2017,,9,0
Syrian Arab Republic,SYR,EMR,2018,979,6,0
Syrian Arab Republic,SYR,EMR,2019,906,5,0
Syrian Arab Republic,SYR,EMR,2020,1290,6,
Tajikistan,TJK,EUR,2017,2432,413,279
Tajikistan,TJK,EUR,2018,2487,296,52
Tajikistan,TJK,EUR,2019,2318,262,75
Tajikistan,TJK,EUR,2020,1683,240,
Thailand,THA,SEA,2017,34195,377,7
Thailand,THA,SEA,2018,39347,768,29
Thailand,THA,SEA,2019,43268,275,24
Thailand,THA,SEA,2020,42096,320,
Timor-Leste,TLS,SEA,2017,1861,4,
Timor-Leste,TLS,SEA,2018,1655,12,
Timor-Leste,TLS,SEA,2019,1628,7,0
Timor-Leste,TLS,SEA,2020,1483,,
Togo,TGO,AFR,2017,2013,13,0
Togo,TGO,AFR,2018,1893,15,0
Togo,TGO,AFR,2019,2035,17,2
Togo,TGO,AFR,2020,1811,1,
Tokelau,TKL,WPR,2017,0,,
Tokelau,TKL,WPR,2018,,,
Tokelau,TKL,WPR,2019,,,
Tokelau,TKL,WPR,2020,0,0,
Tonga,TON,WPR,2017,7,0,0
Tonga,TON,WPR,2018,7,0,0
Tonga,TON,WPR,2019,4,0,0
Tonga,TON,WPR,2020,5,0,
Trinidad and Tobago,TTO,AMR,2017,116,0,0
Trinidad and Tobago,TTO,AMR,2018,156,,
Trinidad and Tobago,TTO,AMR,2019,136,0,
Trinidad and Tobago,TTO,AMR,2020,125,,
Tunisia,TUN,EMR,2017,909,10,1
Tunisia,TUN,EMR,2018,1015,11,1
Tunisia,TUN,EMR,2019,1018,,
Tunisia,TUN,EMR,2020,791,24,
Türkiye,TUR,EUR,2017,5681,121,2
Türkiye,TUR,EUR,2018,5465,123,8
Türkiye,TUR,EUR,2019,5451,88,8
Türkiye,TUR,EUR,2020,4172,84,
Turkmenistan,TKM,EUR,2017,605,,
Turkmenistan,TKM,EUR,2018,606,,
Turkmenistan,TKM,EUR,2019,575,,
Turkmenistan,TKM,EUR,2020,533,,
Turks and Caicos Islands,TCA,AMR,2017,,,
Turks and Caicos Islands,TCA,AMR,2018,1,0,
Turks and Caicos Islands,TCA,AMR,2019,4,0,0
Turks and Caicos Islands,TCA,AMR,2020,,,
Tuvalu,TUV,WPR,2017,10,0,0
Tuvalu,TUV,WPR,2018,14,0,0
Tuvalu,TUV,WPR,2019,14,0,0
Tuvalu,TUV,WPR,2020,16,0,
Uganda,UGA,AFR,2017,25494,30,3
Uganda,UGA,AFR,2018,26963,41,3
Uganda,UGA,AFR,2019,30102,60,1
Uganda,UGA,AFR,2020,30986,149,
Ukraine,UKR,EUR,2017,12840,2594,1001
Ukraine,UKR,EUR,2018,12931,2755,972
Ukraine,UKR,EUR,2019,13039,2588,853
Ukraine,UKR,EUR,2020,9042,1849,
United Arab Emirates,ARE,EMR,2017,46,0,0
United Arab Emirates,ARE,EMR,2018,50,0,0
United Arab Emirates,ARE,EMR,2019,37,1,0
United Arab Emirates,ARE,EMR,2020,32,0,
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,2017,2133,24,3
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,2018,2047,17,3
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,2019,1999,22,1
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,2020,1693,23,
United Republic of Tanzania,TZA,AFR,2017,26364,15,0
United Republic of Tanzania,TZA,AFR,2018,27201,65,
United Republic of Tanzania,TZA,AFR,2019,27632,,0
United Republic of Tanzania,TZA,AFR,2020,28760,0,
United States of America,USA,AMR,2017,5803,90,1
United States of America,USA,AMR,2018,5732,68,1
United States of America,USA,AMR,2019,5676,66,4
United States of America,USA,AMR,2020,4614,40,
Uruguay,URY,AMR,2017,564,1,0
Uruguay,URY,AMR,2018,581,1,0
Uruguay,URY,AMR,2019,680,1,0
Uruguay,URY,AMR,2020,594,2,
Uzbekistan,UZB,EUR,2017,4592,351,0
Uzbekistan,UZB,EUR,2018,4828,392,0
Uzbekistan,UZB,EUR,2019,5249,560,179
Uzbekistan,UZB,EUR,2020,3946,721,
Vanuatu,VUT,WPR,2017,47,0,0
Vanuatu,VUT,WPR,2018,41,0,0
Vanuatu,VUT,WPR,2019,52,0,0
Vanuatu,VUT,WPR,2020,46,0,
Venezuela (Bolivarian Republic of),VEN,AMR,2017,6815,8,2
Venezuela (Bolivarian Republic of),VEN,AMR,2018,6974,3,0
Venezuela (Bolivarian Republic of),VEN,AMR,2019,6534,5,1
Venezuela (Bolivarian Republic of),VEN,AMR,2020,5866,3,
Viet Nam,VNM,WPR,2017,50673,0,13
Viet Nam,VNM,WPR,2018,49664,0,13
Viet Nam,VNM,WPR,2019,52703,0,13
Viet Nam,VNM,WPR,2020,54317,0,
Wallis and Futuna Islands,WLF,WPR,2017,,,
Wallis and Futuna Islands,WLF,WPR,2018,,,
Wallis and Futuna Islands,WLF,WPR,2019,1,0,0
Wallis and Futuna Islands,WLF,WPR,2020,0,0,
Yemen,YEM,EMR,2017,3235,0,
Yemen,YEM,EMR,2018,2849,2,0
Yemen,YEM,EMR,2019,2668,,
Yemen,YEM,EMR,2020,2371,7,
Zambia,ZMB,AFR,2017,14022,11,0
Zambia,ZMB,AFR,2018,15373,9,1
Zambia,ZMB,AFR,2019,15949,86,0
Zambia,ZMB,AFR,2020,16975,72,
Zimbabwe,ZWE,AFR,2017,12355,,
Zimbabwe,ZWE,AFR,2018,11398,117,6
Zimbabwe,ZWE,AFR,2019,9901,32,8
Zimbabwe,ZWE,AFR,2020,8050,25,
